"Original Url","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","Canonical Link Element 2","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://passport.cityofnewyork.us/page.aspx/en/rfp/request_browse_public","https://passport.cityofnewyork.us/page.aspx/en/rfp/request_browse_public","text/html; charset=utf-8","200","OK","Non-Indexable","Redirected","Browse Public RFx: PASSPort","27","261","","0","0","","0","Contrast Settings","17","Browse Public RFx","17","Filters","7","","0","","","","0; URL=/page.aspx/en/usr/login?noscript_redirect=1","","","","","","","","200661","36990","1402","457","3.068","81.105","Easy","4.795","0","3","","2","1","0","1.250","19","18","0","0","0","0","","","","","dd4a557619dc33510a5de54de5bc67ab","2.401","","https://passport.cityofnewyork.us/page.aspx/en/usr/login?noscript_redirect=1","Meta Refresh Redirect","","1.1","https://passport.cityofnewyork.us/page.aspx/en/rfp/request_browse_public","2024-11-30 14:41:06"
"https://aging.ohio.gov/care-and-living/get-help/home-and-community-care/passport-1","https://aging.ohio.gov/care-and-living/get-help/home-and-community-care/passport-1","text/html","404","Not Found","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","5278","5278","0","","","","","0.000","0","3","","1","1","0","1.250","0","0","0","0","0","0","","","","","","4.571","Thu, 17 Aug 2023 15:34:12 GMT","","","","1.1","https://aging.ohio.gov/care-and-living/get-help/home-and-community-care/passport-1","2024-11-30 14:40:46"
"https://help.pbs.org/support/solutions/articles/5000692392-what-is-pbs-passport-","https://help.pbs.org/support/solutions/articles/5000692392-what-is-pbs-passport-","text/html; charset=utf-8","200","OK","Indexable","","What is PBS Passport? : PBS Help","32","298","","0","0","passport, what is, benefit, member","34","What is PBS Passport?","21","","0","Can't find what you're looking for?","35","","0","","","","","https://help.pbs.org/support/solutions/articles/5000692392-what-is-pbs-passport-","","","","","","","30969","10968","382","55","6.945","66.906","Normal","7.569","0","3","","0","0","0","0.000","23","22","0","1","1","0","","","","","64a65f54f16b566d7a8dea8bc6ec1742","8.397","","","","","1.1","https://help.pbs.org/support/solutions/articles/5000692392-what-is-pbs-passport-","2024-11-30 14:41:38"
"https://www.sfmta.com/getting-around/muni/fares","https://www.sfmta.com/getting-around/muni/fares","text/html; charset=UTF-8","200","OK","Indexable","","Fares | SFMTA","13","129","With multiple ways of paying, buying your Muni bus, rail or cable car tickets is easy. Clipper®: Use your Clipper card on all Bay Area transit systems, including Muni. To pay for your trip, tag your Clipper card or Clipper mobile on the ticket readers inside Muni buses and at Muni Metro fare gates.","299","1805","","0","Fares","5","","0","Quick Links","11","More in this section","20","noarchive","","","","https://www.sfmta.com/getting-around/muni/fares","","","","","","","85033","17003","856","202","4.238","66.739","Normal","8.875","0","2","","6","1","0","1.250","132","99","0","13","13","0","","","","","1c0ad445575624bcd6f8f4b08d770dcf","0.602","Sat, 30 Nov 2024 08:55:55 GMT","","","","1.1","https://www.sfmta.com/getting-around/muni/fares","2024-11-30 14:43:01"
"https://mytravel.state.gov/s/","https://mytravel.state.gov/s/","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","","","","","0.000","0","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.818","","","","","1.1","https://mytravel.state.gov/s/","2024-11-30 14:42:23"
"https://passport.polk.edu/","https://passport.polk.edu/","text/html; charset=iso-8859-1","302","Found","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","217","217","0","","","","","0.000","0","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","","4.242","","https://passport.polk.edu/Genesis","HTTP Redirect","","1.1","https://passport.polk.edu/","2024-11-30 14:42:44"
"https://www.passportinc.com/","https://www.passportinc.com/","text/html; charset=UTF-8","200","OK","Indexable","","Curb Management Platform for Parking and Enforcement","52","505","The only end-to-end, parking compliance platform for managing mobile pay parking, digital enforcement and permitting, and payments.","131","833","","0","","0","Experience the Power of Passport’s Platform","43","One Parking Compliance Platform To Manage Your Curb","51","Awards & Recognition","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","https://www.passportinc.com/","","","","","","","133042","20494","759","165","4.600","47.345","Hard","6.446","0","0","","6","2","0","2.500","147","64","0","13","9","0","","","","","c0101021ce34afc7a96de0c5f969b2ce","3.230","","","","","1.1","https://www.passportinc.com/","2024-11-30 14:41:05"
"https://mzv.gov.cz/jnp/en/information_for_aliens/supporting_documents_overview/passport.html","https://mzv.gov.cz/jnp/en/information_for_aliens/supporting_documents_overview/passport.html","text/html;charset=utf-8","200","OK","Indexable","","Passport | Ministry of Foreign Affairs of the Czech Republic","60","520","","0","0","","0","Ministry of Foreign Affairs of the Czech Republic","49","Passport","8","Language","8","Search","6","","","","","","","","","","","","20896","6239","468","81","5.778","83.109","Easy","13.711","0","4","","7","1","0","1.250","58","37","0","12","10","0","","","","","5f14c5815525476384d4d12e1145d945","11.546","Thu, 07 Nov 2024 13:49:42 GMT","","","","1.1","https://mzv.gov.cz/jnp/en/information_for_aliens/supporting_documents_overview/passport.html","2024-11-30 14:40:57"
"https://www.watchguard.com/wgrd-products/watchguard-passport","https://www.watchguard.com/wgrd-products/watchguard-passport","text/html; charset=UTF-8","200","OK","Indexable","","WatchGuard Passport | Cloud Security for Remote Workers","55","518","WatchGuard Passport gives your employees the security they need to work freely from the office, at home or on the go. Try it free today.","136","839","","0","","0","","0","Passport","8","Prefer to Talk to Someone?","26","","","","","https://www.watchguard.com/wgrd-products/watchguard-passport","","","","","","","184351","79982","769","212","3.627","73.558","Fairly Easy","3.234","0","1","","1","1","0","1.250","189","139","0","7","6","0","","","","","bfc34049b3e1996abc50cb7f7787e27c","2.565","Sat, 30 Nov 2024 09:43:00 GMT","","","","1.1","https://www.watchguard.com/wgrd-products/watchguard-passport","2024-11-30 14:42:59"
"https://studyabroad.unt.edu/passport-office/index.html","https://studyabroad.unt.edu/passport-office/index.html","text/html; charset=UTF-8","200","OK","Indexable","","UNT Passport Office |  University of North Texas","48","417","","0","0","","0","UNT Passport Office","19","","0","","0","","0","","","","","https://studyabroad.unt.edu/passport-office/index.html","","","","","","","38919","38919","331","98","3.378","84.813","Easy","6.813","0","1","","4","1","0","1.250","40","23","0","8","8","0","","","","","272ea95e8cc74100d1c18c469f9df70f","14.028","","","","","1.1","https://studyabroad.unt.edu/passport-office/index.html","2024-11-30 14:40:56"
